data_id,name,metric,string_encoder,imputer,learning_algorithm,avg_cv_score,fit_time,predict_time
1510,wdbc,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.9885995126660048,0.17244911193847656,0.010807418823242187
1489,phoneme,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.9631927085815993,0.7164571762084961,0.02106175422668457
1494,qsar-biodeg,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.9329746585025742,0.21143097877502443,0.013067674636840821
1497,wall-robot-navigation,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.04788959838610979,0.870156717300415,0.018963146209716796
1501,semeion,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.533575619820584,0.31632275581359864,0.016818809509277343
1480,ilpd,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.7349361796562363,0.15916814804077148,0.013307762145996094
1485,madelon,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.789181952662722,1.9896116733551026,0.023456096649169922
1486,nomao,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.9942000192722558,5.851979541778564,0.3134897708892822
1487,ozone-level-8hr,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.9066093854097268,0.5111945629119873,0.01578683853149414
1468,cnae-9,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.34457707689054373,0.4161374092102051,0.015587949752807617
1475,first-order-theorem-proving,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-1.7634354195755801,1.5637882709503175,0.030576515197753906
1462,banknote-authentication,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.9998867558239862,0.1749082088470459,0.011678600311279297
1464,blood-transfusion-service-center,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.6721602617655249,0.14238195419311522,0.011694717407226562
4534,PhishingWebsites,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.9957484681306645,1.0269841194152831,0.11989359855651856
6332,cylinder-bands,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-1,-1,-1
1461,bank-marketing,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.9262942483015472,4.657585287094117,0.2148425579071045
4538,GesturePhaseSegmentationProcessed,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.9505203646132463,3.1938350677490233,0.041362953186035153
1478,har,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.12978948522639083,12.160817670822144,0.044985055923461914
23381,dresses-sales,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-1,-1,-1
40499,texture,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.1417881838304494,1.4045138835906983,0.022356557846069335
40668,connect-4,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.49570329989219075,10.678442239761353,0.8470625877380371
40966,MiceProtein,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.3300024754764422,0.410921049118042,0.014246320724487305
40982,steel-plates-fault,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.6641903595568751,0.4310904979705811,0.016433048248291015
40994,climate-model-simulation-crashes,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.9149252158775967,0.17002472877502442,0.010957574844360352
40983,wilt,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.9890774881456184,0.3864717483520508,0.01737985610961914
40975,car,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.13959641323798314,0.18204097747802733,0.02517695426940918
40984,segment,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.21061264578276115,0.35257577896118164,0.015832233428955077
40979,mfeat-pixel,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.2666745409465736,0.37029447555541994,0.01542196273803711
40996,Fashion-MNIST,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.38956707611072244,66.34965677261353,0.5700424194335938
41027,jungle_chess_2pcs_raw_endgame_complete,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.4316668776586183,1.7065096855163575,0.11380434036254883
23517,numerai28.6,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.5146413097279544,31.88602499961853,0.4908864498138428
40923,Devnagari-Script,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.9035042061588106,91.2979998588562,1.6618244647979736
40927,CIFAR_10,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-1.6712062118265014,198.9793511390686,1.0312166213989258
40978,Internet-Advertisements,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.9850261594711178,12.182715654373169,2.2974279880523683
40670,dna,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.2697039778180499,1.273993444442749,0.28873658180236816
40701,churn,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.9121869238650936,0.6914094448089599,0.03244471549987793
3,kr-vs-kp,roc_auc,MinHashEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.9994718909101522,0.795203971862793,0.04332237243652344
6,letter,neg_log_loss,MinHashEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.2786160028106476,1.5799708366394043,0.11770801544189453
11,balance-scale,neg_log_loss,MinHashEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.6372043725115184,0.13484878540039064,0.011089468002319336
12,mfeat-factors,neg_log_loss,MinHashEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.2442965143036778,0.7701893806457519,0.015866899490356447
14,mfeat-fourier,neg_log_loss,MinHashEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.5907681107026261,0.8185656547546387,0.01645627021789551
15,breast-w,roc_auc,MinHashEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.9932887778259893,0.1364894390106201,0.011324119567871094
16,mfeat-karhunen,neg_log_loss,MinHashEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.47368993311035956,0.7776095867156982,0.016080617904663086
18,mfeat-morphological,neg_log_loss,MinHashEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-1.1634358947988546,0.24664607048034667,0.01592874526977539
22,mfeat-zernike,neg_log_loss,MinHashEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.6981283924675159,0.6678621768951416,0.015816307067871092
23,cmc,neg_log_loss,MinHashEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-1.9705002913357998,0.343494176864624,0.019556188583374025
